Date,AAPL_Open,AAPL_High,AAPL_Low,AAPL_Close,AAPL_Volume,MSFT_Open,MSFT_High,MSFT_Low,MSFT_Close,MSFT_Volume,GOOGL_Open,GOOGL_High,GOOGL_Low,GOOGL_Close,GOOGL_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Close,NVDA_Volume,AMZN_Open,AMZN_High,AMZN_Low,AMZN_Close,AMZN_Volume
2022-05-20,139.09,140.7,132.61,137.59,137426125,257.24,258.54,246.44,252.56,39199279,111.951,112.18350000000001,105.79636,108.90799999999999,48962960,173.32,174.1,157.55,166.94,73910526,109.5685,109.898,105.00934,107.59100000000001,99500640
2022-05-23,137.79,143.26,137.65,143.11,117726265,255.49,261.5,253.43,260.65,33175379,109.5875,112.1475,108.74100000000001,111.48800000000001,37184940,162.74,169.15,161.7901,168.98,63988869,108.46099999999998,108.81875,103.95,107.55699999999999,107797360
2022-05-24,140.805,141.97,137.33,140.36,104132746,257.89,261.33,253.5,259.62,29043904,105.772,106.45824999999999,101.88468,105.97,76779780,165.1,165.97,157.8,161.54,58855002,104.025,105.4,101.26,104.1,102934680
2022-05-25,138.43,141.785,138.34,140.52,92482696,258.14,264.58,257.125,262.52,28547947,104.9855,106.5,103.85650000000001,105.80499999999999,40257340,160.2,171.1099,160.0,169.75,78113190,103.6555,108.175,103.65,106.775,93120100
2022-05-26,137.39,144.34,137.14,143.78,90601548,262.27,267.11,261.4294,265.9,25002105,105.67699999999999,108.64949999999999,105.22485999999999,107.79249999999999,37947220,160.36,180.92,160.22,178.51,99657452,107.97,112.6655,107.4535,111.07750000000001,93002600
2022-05-27,145.39,149.68,145.26,149.64,90978503,268.48,273.34,267.56,273.24,26910806,109.48299999999999,112.31800000000001,109.13825,112.31649999999999,37914120,181.86,188.81,181.0,188.11,73837935,113.55,115.18699999999998,112.628,115.14649999999999,93660160
2022-05-31,149.07,150.66,146.84,148.84,103718416,272.53,274.77,268.93,271.87,37827695,112.7465,115.73499999999999,112.0785,113.76199999999999,50012260,189.8,192.0,183.5,186.72,66409951,116.28,121.99449999999999,115.675,120.2095,144634160
2022-06-01,149.9,151.74,147.68,148.71,74286635,275.195,277.69,270.04,272.42,25292174,114.85499999999999,117.10155999999999,113.25,113.89200000000001,36605520,187.24,190.5318,181.22,183.2,54451390,122.256,125.179,120.62225000000001,121.684,127528980
2022-06-02,147.83,151.27,146.86,151.21,72348055,264.45,274.65,261.6,274.58,44008209,114.0,117.89949999999999,112.94649999999999,117.62249999999999,37992280,182.92,196.19,181.98,195.92,64865580,121.684,125.60999999999999,120.045,125.511,100560680
2022-06-03,146.9,147.97,144.46,145.38,88570289,270.31,273.45,268.41,270.02,28058958,116.0625,116.32163,113.51849999999999,114.54100000000001,26135460,190.815,193.323,185.2156,187.2,59877870,124.2,124.4,121.04645000000001,122.35,97603320
2022-06-06,147.03,148.5689,144.9,146.14,71598380,272.06,274.18,267.22,268.75,22400342,116.70450000000001,119.34700000000001,116.16400000000002,116.8205,33541540,191.39,193.37,185.642,187.86,42240615,125.245,128.99,123.81,124.79,135269024
2022-06-07,144.345,149.0,144.1,148.71,67808150,266.635,273.13,265.94,272.5,22860677,115.4805,117.691,115.05199999999999,117.14949999999999,31590460,184.72,190.0,181.88,189.26,38891411,122.005,124.1,120.63,123.0,85156712
2022-06-08,148.58,149.8697,147.46,147.96,53950201,271.71,273.0,269.61,270.41,17372341,116.7615,118.5705,116.6,117.194,26107740,187.99,191.8,185.35,186.48,36325246,122.61,123.75,120.75,121.18,64926594
2022-06-09,147.08,147.95,142.53,142.64,69472976,267.78,272.7081,264.63,264.79,26439728,116.32750000000001,118.299,114.776,114.8355,25797960,184.81,189.33,180.41,180.48,39557379,119.99,121.3,116.1,116.15,67029842
2022-06-10,140.28,140.76,137.06,137.13,91566637,260.58,260.58,252.53,252.99,31445841,112.44500000000001,113.279,110.36612,111.1615,41481840,176.0,176.97,168.69,169.74,46564966,113.415,114.5,109.05,109.65,87412245
